timestamp,algoritmo,tamaño_clave,curva,longitud_cadena,iteracion,tiempo_handshake_s,tiempo_handshake_ms,tamaño_certificados_bytes,exitoso,label
2026-04-20T22:40:03.697280,RSA,2048,,0,1,0.008421,8.421,1257,True,RSA-2048
2026-04-20T22:40:03.697608,RSA,2048,,0,2,0.003044,3.044,1257,True,RSA-2048
2026-04-20T22:40:03.697812,RSA,2048,,0,3,0.002661,2.661,1257,True,RSA-2048
2026-04-20T22:40:03.697969,RSA,2048,,0,4,0.002849,2.849,1257,True,RSA-2048
2026-04-20T22:40:03.698136,RSA,2048,,0,5,0.002507,2.507,1257,True,RSA-2048
2026-04-20T22:40:03.698284,RSA,2048,,0,6,0.002321,2.321,1257,True,RSA-2048
2026-04-20T22:40:03.698469,RSA,2048,,0,7,0.002376,2.376,1257,True,RSA-2048
2026-04-20T22:40:03.698635,RSA,2048,,0,8,0.002384,2.384,1257,True,RSA-2048
2026-04-20T22:40:03.698792,RSA,2048,,0,9,0.002434,2.434,1257,True,RSA-2048
2026-04-20T22:40:03.698949,RSA,2048,,0,10,0.002577,2.577,1257,True,RSA-2048
2026-04-20T22:40:03.699114,RSA,2048,,0,11,0.002528,2.528,1257,True,RSA-2048
2026-04-20T22:40:03.699260,RSA,2048,,0,12,0.002396,2.396,1257,True,RSA-2048
2026-04-20T22:40:03.699456,RSA,2048,,0,13,0.002748,2.748,1257,True,RSA-2048
2026-04-20T22:40:03.699636,RSA,2048,,0,14,0.002359,2.359,1257,True,RSA-2048
2026-04-20T22:40:03.699777,RSA,2048,,0,15,0.002667,2.667,1257,True,RSA-2048
2026-04-20T22:40:03.699899,RSA,2048,,0,16,0.002558,2.558,1257,True,RSA-2048
2026-04-20T22:40:03.700032,RSA,2048,,0,17,0.002432,2.432,1257,True,RSA-2048
2026-04-20T22:40:03.700129,RSA,2048,,0,18,0.002587,2.587,1257,True,RSA-2048
2026-04-20T22:40:03.700241,RSA,2048,,0,19,0.038553,38.553,1257,True,RSA-2048
2026-04-20T22:40:03.700418,RSA,2048,,0,20,0.002444,2.444,1257,True,RSA-2048
2026-04-20T22:40:04.146498,RSA,2048,,1,1,0.003742,3.742,2530,True,RSA-2048
2026-04-20T22:40:04.146823,RSA,2048,,1,2,0.002664,2.664,2530,True,RSA-2048
2026-04-20T22:40:04.147092,RSA,2048,,1,3,0.002567,2.567,2530,True,RSA-2048
2026-04-20T22:40:04.147294,RSA,2048,,1,4,0.002475,2.475,2530,True,RSA-2048
2026-04-20T22:40:04.147670,RSA,2048,,1,5,0.002662,2.662,2530,True,RSA-2048
2026-04-20T22:40:04.147860,RSA,2048,,1,6,0.002544,2.544,2530,True,RSA-2048
2026-04-20T22:40:04.148008,RSA,2048,,1,7,0.00304,3.04,2530,True,RSA-2048
2026-04-20T22:40:04.148144,RSA,2048,,1,8,0.002808,2.808,2530,True,RSA-2048
2026-04-20T22:40:04.148369,RSA,2048,,1,9,0.002768,2.768,2530,True,RSA-2048
2026-04-20T22:40:04.148600,RSA,2048,,1,10,0.002441,2.441,2530,True,RSA-2048
2026-04-20T22:40:04.148768,RSA,2048,,1,11,0.002686,2.686,2530,True,RSA-2048
2026-04-20T22:40:04.148913,RSA,2048,,1,12,0.00254,2.54,2530,True,RSA-2048
2026-04-20T22:40:04.149115,RSA,2048,,1,13,0.002619,2.619,2530,True,RSA-2048
2026-04-20T22:40:04.149285,RSA,2048,,1,14,0.00292,2.92,2530,True,RSA-2048
2026-04-20T22:40:04.149458,RSA,2048,,1,15,0.002786,2.786,2530,True,RSA-2048
2026-04-20T22:40:04.149642,RSA,2048,,1,16,0.002824,2.824,2530,True,RSA-2048
2026-04-20T22:40:04.149800,RSA,2048,,1,17,0.002675,2.675,2530,True,RSA-2048
2026-04-20T22:40:04.149944,RSA,2048,,1,18,0.002661,2.661,2530,True,RSA-2048
2026-04-20T22:40:04.150086,RSA,2048,,1,19,0.002511,2.511,2530,True,RSA-2048
2026-04-20T22:40:04.150222,RSA,2048,,1,20,0.002548,2.548,2530,True,RSA-2048
2026-04-20T22:40:04.908861,RSA,2048,,2,1,0.004208,4.208,3803,True,RSA-2048
2026-04-20T22:40:04.909134,RSA,2048,,2,2,0.002813,2.813,3803,True,RSA-2048
2026-04-20T22:40:04.909309,RSA,2048,,2,3,0.002857,2.857,3803,True,RSA-2048
2026-04-20T22:40:04.909495,RSA,2048,,2,4,0.002722,2.722,3803,True,RSA-2048
2026-04-20T22:40:04.909641,RSA,2048,,2,5,0.002722,2.722,3803,True,RSA-2048
2026-04-20T22:40:04.909777,RSA,2048,,2,6,0.002794,2.794,3803,True,RSA-2048
2026-04-20T22:40:04.909909,RSA,2048,,2,7,0.00274,2.74,3803,True,RSA-2048
2026-04-20T22:40:04.910043,RSA,2048,,2,8,0.002913,2.913,3803,True,RSA-2048
2026-04-20T22:40:04.910174,RSA,2048,,2,9,0.002778,2.778,3803,True,RSA-2048
2026-04-20T22:40:04.910270,RSA,2048,,2,10,0.002775,2.775,3803,True,RSA-2048
2026-04-20T22:40:04.910409,RSA,2048,,2,11,0.002873,2.873,3803,True,RSA-2048
2026-04-20T22:40:04.910558,RSA,2048,,2,12,0.002877,2.877,3803,True,RSA-2048
2026-04-20T22:40:04.910704,RSA,2048,,2,13,0.002886,2.886,3803,True,RSA-2048
2026-04-20T22:40:04.910831,RSA,2048,,2,14,0.00306,3.06,3803,True,RSA-2048
2026-04-20T22:40:04.910921,RSA,2048,,2,15,0.002908,2.908,3803,True,RSA-2048
2026-04-20T22:40:04.911008,RSA,2048,,2,16,0.015693,15.693,3803,True,RSA-2048
2026-04-20T22:40:04.911144,RSA,2048,,2,17,0.002743,2.743,3803,True,RSA-2048
2026-04-20T22:40:04.911264,RSA,2048,,2,18,0.002737,2.737,3803,True,RSA-2048
2026-04-20T22:40:04.911414,RSA,2048,,2,19,0.002689,2.689,3803,True,RSA-2048
2026-04-20T22:40:04.911629,RSA,2048,,2,20,0.002821,2.821,3803,True,RSA-2048
2026-04-20T22:40:05.393115,RSA,2048,,3,1,0.004201,4.201,5076,True,RSA-2048
2026-04-20T22:40:05.393524,RSA,2048,,3,2,0.003022,3.022,5076,True,RSA-2048
2026-04-20T22:40:05.393742,RSA,2048,,3,3,0.003077,3.077,5076,True,RSA-2048
2026-04-20T22:40:05.394009,RSA,2048,,3,4,0.003046,3.046,5076,True,RSA-2048
2026-04-20T22:40:05.394204,RSA,2048,,3,5,0.003252,3.252,5076,True,RSA-2048
2026-04-20T22:40:05.394489,RSA,2048,,3,6,0.003343,3.343,5076,True,RSA-2048
