timestamp,trial_number,iteration,algorithm,key_size_or_curve,chain_depth,handshake_time_ms,certificate_chain_size_bytes,free_heap_bytes,largest_free_block_bytes,fragmentation_ratio,handshake_success
2026-05-26T20:59:50,1,1,RSA,2048,0,21773.0,1359,210836,110580,0.476,1
2026-05-26T20:59:51,2,2,RSA,2048,0,1398.0,1359,205628,110580,0.462,1
2026-05-26T20:59:55,3,3,RSA,2048,0,3700.0,1359,208588,110580,0.47,1
2026-05-26T21:00:00,4,4,RSA,2048,0,4587.0,1359,210528,110580,0.475,1
2026-05-26T21:00:02,5,5,RSA,2048,0,1682.0,1359,206012,110580,0.463,1
2026-05-26T21:00:04,6,6,RSA,2048,0,1121.0,1359,208364,110580,0.469,1
2026-05-26T21:00:05,7,7,RSA,2048,0,1101.0,1359,210264,110580,0.474,1
2026-05-26T21:00:09,8,8,RSA,2048,0,3463.0,1359,210468,110580,0.475,1
2026-05-26T21:00:11,9,9,RSA,2048,0,1760.0,1359,210452,110580,0.475,1
2026-05-26T21:00:16,10,10,RSA,2048,0,4827.0,1359,210436,110580,0.475,1
2026-05-26T21:00:18,1,11,RSA,2048,1,917.0,2571,209956,110580,0.473,1
2026-05-26T21:00:28,2,12,RSA,2048,1,9323.0,2571,209980,110580,0.473,1
2026-05-26T21:00:29,3,13,RSA,2048,1,1120.0,2571,210176,110580,0.474,1
2026-05-26T21:00:32,4,14,RSA,2048,1,2096.0,2571,210172,110580,0.474,1
2026-05-26T21:00:42,5,15,RSA,2048,1,10370.0,2571,209980,110580,0.473,1
2026-05-26T21:00:45,6,16,RSA,2048,1,2041.0,2571,209992,110580,0.473,1
2026-05-26T21:00:46,7,17,RSA,2048,1,997.0,2571,209976,110580,0.473,1
2026-05-26T21:00:48,8,18,RSA,2048,1,1201.0,2571,209972,110580,0.473,1
2026-05-26T21:00:49,9,19,RSA,2048,1,1281.0,2571,209880,110580,0.473,1
2026-05-26T21:00:51,10,20,RSA,2048,1,1328.0,2571,210176,110580,0.474,1
2026-05-26T21:00:53,1,21,RSA,2048,2,1386.0,3783,207996,110580,0.468,1
2026-05-26T21:00:55,2,22,RSA,2048,2,1035.0,3783,207760,110580,0.468,1
2026-05-26T21:00:56,3,23,RSA,2048,2,874.0,3783,208012,110580,0.468,1
2026-05-26T21:01:00,4,24,RSA,2048,2,3865.0,3783,208000,110580,0.468,1
2026-05-26T21:01:03,5,25,RSA,2048,2,2652.0,3783,208004,110580,0.468,1
2026-05-26T21:01:08,6,26,RSA,2048,2,4610.0,3783,207804,110580,0.468,1
2026-05-26T21:01:09,7,27,RSA,2048,2,1140.0,3783,207964,110580,0.468,1
2026-05-26T21:01:10,8,28,RSA,2048,2,901.0,3783,208004,110580,0.468,1
2026-05-26T21:01:12,9,29,RSA,2048,2,1249.0,3783,207784,110580,0.468,1
2026-05-26T21:01:13,10,30,RSA,2048,2,1151.0,3783,207692,110580,0.468,1
2026-05-26T21:01:16,1,31,RSA,2048,3,1045.0,4995,205808,110580,0.463,1
2026-05-26T21:01:17,2,32,RSA,2048,3,1022.0,4995,205592,110580,0.462,1
2026-05-26T21:01:18,3,33,RSA,2048,3,911.0,4995,205596,110580,0.462,1
2026-05-26T21:01:20,4,34,RSA,2048,3,1033.0,4995,205596,110580,0.462,1
2026-05-26T21:01:21,5,35,RSA,2048,3,1560.0,4995,205808,110580,0.463,1
2026-05-26T21:01:23,6,36,RSA,2048,3,1110.0,4995,205816,110580,0.463,1
2026-05-26T21:01:24,7,37,RSA,2048,3,1159.0,4995,205168,110580,0.461,1
2026-05-26T21:01:26,8,38,RSA,2048,3,1400.0,4995,205840,110580,0.463,1
2026-05-26T21:01:28,9,39,RSA,2048,3,1339.0,4995,205820,110580,0.463,1
2026-05-26T21:01:32,10,40,RSA,2048,3,4114.0,4995,205840,110580,0.463,1
2026-05-26T21:01:37,1,41,RSA,4096,0,1075.0,1708,209532,110580,0.472,1
2026-05-26T21:01:39,2,42,RSA,4096,0,1240.0,1708,209328,110580,0.472,1
2026-05-26T21:01:41,3,43,RSA,4096,0,1831.0,1708,209520,110580,0.472,1
2026-05-26T21:01:43,4,44,RSA,4096,0,2260.0,1708,209724,110580,0.473,1
2026-05-26T21:01:45,5,45,RSA,4096,0,1024.0,1708,209532,110580,0.472,1
2026-05-26T21:01:46,6,46,RSA,4096,0,1458.0,1708,209740,110580,0.473,1
2026-05-26T21:01:48,7,47,RSA,4096,0,875.0,1708,209736,110580,0.473,1
2026-05-26T21:01:52,8,48,RSA,4096,0,4042.0,1708,209740,110580,0.473,1
2026-05-26T21:01:53,9,49,RSA,4096,0,1056.0,1708,209332,110580,0.472,1
2026-05-26T21:01:55,10,50,RSA,4096,0,1594.0,1708,209708,110580,0.473,1
2026-05-26T21:01:58,1,51,RSA,4096,1,1257.0,3611,208436,110580,0.469,1
2026-05-26T21:02:00,2,52,RSA,4096,1,1178.0,3611,207920,110580,0.468,1
2026-05-26T21:02:11,3,53,RSA,4096,1,10438.0,3611,208236,110580,0.469,1
2026-05-26T21:02:12,4,54,RSA,4096,1,1130.0,3611,208244,110580,0.469,1
2026-05-26T21:02:16,5,55,RSA,4096,1,4097.0,3611,208036,110580,0.468,1
2026-05-26T21:02:18,6,56,RSA,4096,1,971.0,3611,208432,110580,0.469,1
2026-05-26T21:02:19,7,57,RSA,4096,1,941.0,3611,208420,110580,0.469,1
2026-05-26T21:02:20,8,58,RSA,4096,1,1026.0,3611,208020,110580,0.468,1
2026-05-26T21:02:22,9,59,RSA,4096,1,1370.0,3611,208436,110580,0.469,1
2026-05-26T21:02:23,10,60,RSA,4096,1,938.0,3611,208432,110580,0.469,1
2026-05-26T21:02:27,1,61,RSA,4096,2,1094.0,5518,205228,110580,0.461,1
2026-05-26T21:02:30,2,62,RSA,4096,2,2953.0,5518,205244,110580,0.461,1
2026-05-26T21:02:32,3,63,RSA,4096,2,1362.0,5518,205232,110580,0.461,1
2026-05-26T21:02:33,4,64,RSA,4096,2,1047.0,5518,204824,110580,0.46,1
2026-05-26T21:02:40,5,65,RSA,4096,2,7162.0,5518,205204,110580,0.461,1
2026-05-26T21:02:43,6,66,RSA,4096,2,2212.0,5518,205044,110580,0.461,1
2026-05-26T21:02:45,7,67,RSA,4096,2,2051.0,5518,205220,110580,0.461,1
2026-05-26T21:02:47,8,68,RSA,4096,2,1041.0,5518,204824,110580,0.46,1
2026-05-26T21:02:48,9,69,RSA,4096,2,1313.0,5518,205232,110580,0.461,1
2026-05-26T21:02:50,10,70,RSA,4096,2,1069.0,5518,204796,110580,0.46,1
2026-05-26T21:02:56,1,71,RSA,4096,3,2786.0,7425,202036,110580,0.453,1
2026-05-26T21:02:59,2,72,RSA,4096,3,2241.0,7425,202020,110580,0.453,1
2026-05-26T21:03:00,3,73,RSA,4096,3,1108.0,7425,201988,110580,0.453,1
2026-05-26T21:03:02,4,74,RSA,4096,3,1176.0,7425,201824,110580,0.452,1
2026-05-26T21:03:10,5,75,RSA,4096,3,8320.0,7425,202008,110580,0.453,1
2026-05-26T21:03:13,6,76,RSA,4096,3,2299.0,7425,202036,110580,0.453,1
2026-05-26T21:03:14,7,77,RSA,4096,3,1242.0,7425,202012,110580,0.453,1
2026-05-26T21:03:16,8,78,RSA,4096,3,1192.0,7425,201832,110580,0.452,1
2026-05-26T21:03:17,9,79,RSA,4096,3,1278.0,7425,201800,110580,0.452,1
2026-05-26T21:03:20,10,80,RSA,4096,3,2407.0,7425,202028,110580,0.453,1
2026-05-26T21:03:23,1,81,ECDSA,secp256r1,0,2019.0,1086,211160,110580,0.476,1
2026-05-26T21:03:25,2,82,ECDSA,secp256r1,0,1460.0,1086,210956,110580,0.476,1
2026-05-26T21:03:27,3,83,ECDSA,secp256r1,0,1794.0,1086,210952,110580,0.476,1
2026-05-26T21:03:29,4,84,ECDSA,secp256r1,0,1452.0,1086,210948,110580,0.476,1
2026-05-26T21:03:31,5,85,ECDSA,secp256r1,0,1615.0,1086,211152,110580,0.476,1
2026-05-26T21:03:35,6,86,ECDSA,secp256r1,0,4395.0,1086,211156,110580,0.476,1
2026-05-26T21:03:37,7,87,ECDSA,secp256r1,0,1855.0,1086,211124,110580,0.476,1
2026-05-26T21:03:40,8,88,ECDSA,secp256r1,0,2154.0,1086,210956,110580,0.476,1
2026-05-26T21:03:42,9,89,ECDSA,secp256r1,0,1541.0,1086,211156,110580,0.476,1
2026-05-26T21:03:44,10,90,ECDSA,secp256r1,0,1797.0,1086,211144,110580,0.476,1
2026-05-26T21:03:47,1,91,ECDSA,secp256r1,1,2601.0,1758,211108,110580,0.476,1
2026-05-26T21:03:50,2,92,ECDSA,secp256r1,1,2652.0,1758,211524,110580,0.477,1
2026-05-26T21:03:53,3,93,ECDSA,secp256r1,1,2129.0,1758,211304,110580,0.477,1
2026-05-26T21:03:55,4,94,ECDSA,secp256r1,1,2134.0,1758,211528,110580,0.477,1
2026-05-26T21:03:58,5,95,ECDSA,secp256r1,1,2295.0,1758,211528,110580,0.477,1
2026-05-26T21:04:01,6,96,ECDSA,secp256r1,1,2458.0,1758,211332,110580,0.477,1
2026-05-26T21:04:03,7,97,ECDSA,secp256r1,1,2560.0,1758,211320,110580,0.477,1
2026-05-26T21:04:06,8,98,ECDSA,secp256r1,1,2111.0,1758,211540,110580,0.477,1
2026-05-26T21:04:08,9,99,ECDSA,secp256r1,1,2124.0,1758,211516,110580,0.477,1
2026-05-26T21:04:11,10,100,ECDSA,secp256r1,1,2147.0,1758,211728,110580,0.478,1
2026-05-26T21:04:14,1,101,ECDSA,secp256r1,2,2818.0,2434,210396,110580,0.474,1
2026-05-26T21:04:18,2,102,ECDSA,secp256r1,2,2833.0,2434,210004,110580,0.473,1
2026-05-26T21:04:21,3,103,ECDSA,secp256r1,2,2879.0,2434,210192,110580,0.474,1
2026-05-26T21:04:24,4,104,ECDSA,secp256r1,2,2850.0,2434,210388,110580,0.474,1
2026-05-26T21:04:27,5,105,ECDSA,secp256r1,2,2869.0,2434,210380,110580,0.474,1
2026-05-26T21:04:30,6,106,ECDSA,secp256r1,2,2931.0,2434,210404,110580,0.474,1
2026-05-26T21:04:34,7,107,ECDSA,secp256r1,2,3190.0,2434,210396,110580,0.474,1
2026-05-26T21:04:38,8,108,ECDSA,secp256r1,2,3381.0,2434,209952,110580,0.473,1
2026-05-26T21:04:41,9,109,ECDSA,secp256r1,2,2813.0,2434,210396,110580,0.474,1
