timestamp,algoritmo,tamaño_clave,curva,longitud_cadena,iteracion,tiempo_handshake_s,tiempo_handshake_ms,tamaño_certificados_bytes,exitoso,label
2026-05-17T13:31:28.578119,RSA,2048,,1,26,0.00127,1.27,2530,True,RSA-2048
2026-05-17T13:31:28.578163,RSA,2048,,1,27,0.001205,1.205,2530,True,RSA-2048
2026-05-17T13:31:28.578206,RSA,2048,,1,28,0.001306,1.306,2530,True,RSA-2048
2026-05-17T13:31:28.578246,RSA,2048,,1,29,0.001268,1.268,2530,True,RSA-2048
2026-05-17T13:31:28.578295,RSA,2048,,1,30,0.001353,1.353,2530,True,RSA-2048
2026-05-17T13:31:29.104961,RSA,2048,,2,1,0.002332,2.332,3803,True,RSA-2048
2026-05-17T13:31:29.105111,RSA,2048,,2,2,0.001703,1.703,3803,True,RSA-2048
2026-05-17T13:31:29.105175,RSA,2048,,2,3,0.001665,1.665,3803,True,RSA-2048
2026-05-17T13:31:29.105224,RSA,2048,,2,4,0.00164,1.64,3803,True,RSA-2048
2026-05-17T13:31:29.105265,RSA,2048,,2,5,0.001611,1.611,3803,True,RSA-2048
2026-05-17T13:31:29.105305,RSA,2048,,2,6,0.001497,1.497,3803,True,RSA-2048
2026-05-17T13:31:29.105343,RSA,2048,,2,7,0.001493,1.493,3803,True,RSA-2048
2026-05-17T13:31:29.105381,RSA,2048,,2,8,0.001474,1.474,3803,True,RSA-2048
2026-05-17T13:31:29.105417,RSA,2048,,2,9,0.001469,1.469,3803,True,RSA-2048
2026-05-17T13:31:29.105453,RSA,2048,,2,10,0.001452,1.452,3803,True,RSA-2048
2026-05-17T13:31:29.105488,RSA,2048,,2,11,0.001383,1.383,3803,True,RSA-2048
2026-05-17T13:31:29.105523,RSA,2048,,2,12,0.00152,1.52,3803,True,RSA-2048
2026-05-17T13:31:29.105558,RSA,2048,,2,13,0.001451,1.451,3803,True,RSA-2048
2026-05-17T13:31:29.105592,RSA,2048,,2,14,0.001396,1.396,3803,True,RSA-2048
2026-05-17T13:31:29.105626,RSA,2048,,2,15,0.001379,1.379,3803,True,RSA-2048
2026-05-17T13:31:29.105660,RSA,2048,,2,16,0.001342,1.342,3803,True,RSA-2048
2026-05-17T13:31:29.105694,RSA,2048,,2,17,0.001339,1.339,3803,True,RSA-2048
2026-05-17T13:31:29.105727,RSA,2048,,2,18,0.001343,1.343,3803,True,RSA-2048
2026-05-17T13:31:29.105761,RSA,2048,,2,19,0.001432,1.432,3803,True,RSA-2048
2026-05-17T13:31:29.105795,RSA,2048,,2,20,0.001319,1.319,3803,True,RSA-2048
2026-05-17T13:31:29.105829,RSA,2048,,2,21,0.001379,1.379,3803,True,RSA-2048
2026-05-17T13:31:29.105862,RSA,2048,,2,22,0.001355,1.355,3803,True,RSA-2048
2026-05-17T13:31:29.105896,RSA,2048,,2,23,0.001336,1.336,3803,True,RSA-2048
2026-05-17T13:31:29.105929,RSA,2048,,2,24,0.001323,1.323,3803,True,RSA-2048
2026-05-17T13:31:29.105968,RSA,2048,,2,25,0.001366,1.366,3803,True,RSA-2048
2026-05-17T13:31:29.106002,RSA,2048,,2,26,0.001343,1.343,3803,True,RSA-2048
2026-05-17T13:31:29.106036,RSA,2048,,2,27,0.001317,1.317,3803,True,RSA-2048
2026-05-17T13:31:29.106071,RSA,2048,,2,28,0.00134,1.34,3803,True,RSA-2048
2026-05-17T13:31:29.106105,RSA,2048,,2,29,0.001275,1.275,3803,True,RSA-2048
2026-05-17T13:31:29.106139,RSA,2048,,2,30,0.001252,1.252,3803,True,RSA-2048
2026-05-17T13:31:29.786839,RSA,2048,,3,1,0.002451,2.451,5076,True,RSA-2048
2026-05-17T13:31:29.787027,RSA,2048,,3,2,0.001821,1.821,5076,True,RSA-2048
2026-05-17T13:31:29.787307,RSA,2048,,3,3,0.002251,2.251,5076,True,RSA-2048
2026-05-17T13:31:29.787383,RSA,2048,,3,4,0.001777,1.777,5076,True,RSA-2048
2026-05-17T13:31:29.787453,RSA,2048,,3,5,0.001697,1.697,5076,True,RSA-2048
2026-05-17T13:31:29.787499,RSA,2048,,3,6,0.001737,1.737,5076,True,RSA-2048
2026-05-17T13:31:29.787551,RSA,2048,,3,7,0.001634,1.634,5076,True,RSA-2048
2026-05-17T13:31:29.787600,RSA,2048,,3,8,0.001536,1.536,5076,True,RSA-2048
2026-05-17T13:31:29.787650,RSA,2048,,3,9,0.00153,1.53,5076,True,RSA-2048
2026-05-17T13:31:29.787697,RSA,2048,,3,10,0.001554,1.554,5076,True,RSA-2048
2026-05-17T13:31:29.787745,RSA,2048,,3,11,0.001498,1.498,5076,True,RSA-2048
