algorithm,key_size_or_curve,chain_depth,n_total,n_success,failure_rate,handshake_time_ms_mean,handshake_time_ms_median,handshake_time_ms_std,handshake_time_ms_min,handshake_time_ms_max,handshake_time_ms_p95,handshake_time_ms_cv,free_heap_bytes_mean,free_heap_bytes_median,free_heap_bytes_std,free_heap_bytes_min,free_heap_bytes_max,free_heap_bytes_p95,free_heap_bytes_cv,largest_free_block_bytes_mean,largest_free_block_bytes_median,largest_free_block_bytes_std,largest_free_block_bytes_min,largest_free_block_bytes_max,largest_free_block_bytes_p95,largest_free_block_bytes_cv,fragmentation_ratio_mean,fragmentation_ratio_median,fragmentation_ratio_std,fragmentation_ratio_min,fragmentation_ratio_max,fragmentation_ratio_p95,fragmentation_ratio_cv
ECDSA,secp256r1,0,10,10,0.0,1738.1,1701.5,345.87937846082184,1445.0,2590.0,2286.249999999999,0.1989985492554064,210727.2,210814.0,260.3641893792445,210272.0,210940.0,210940.0,0.0012355509368474715,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.47529999999999994,0.4755,0.0008232726023485653,0.474,0.476,0.476,0.0017321115134621616
ECDSA,secp256r1,1,10,10,0.0,3904.3,2312.5,3289.60240927549,2120.0,10869.0,10170.599999999999,0.842558822138537,211431.6,211508.0,106.54075902364002,211300.0,211520.0,211518.2,0.0005039017773295951,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.47700000000000004,0.477,5.851389114294502e-17,0.477,0.477,0.477,1.2267063132692874e-16
ECDSA,secp256r1,2,10,10,0.0,3282.4,3042.5,834.0437238738347,2797.0,5551.0,4664.499999999998,0.2540956994497425,210077.2,210170.0,147.69397791078387,209756.0,210188.0,210188.0,0.0007030462035422401,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.47359999999999997,0.474,0.0005163977794943227,0.473,0.474,0.474,0.001090366933053891
ECDSA,secp256r1,3,10,10,0.0,4880.8,4144.5,1308.5849694315698,3502.0,6558.0,6555.75,0.26810870542361287,208810.8,208836.0,66.3204342567206,208640.0,208856.0,208852.4,0.00031761017273398024,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.47050000000000003,0.4705,0.0005270462766947305,0.47,0.471,0.471,0.0011201833723586195
ECDSA,secp384r1,0,10,10,0.0,2853.1,2468.5,1248.674448276162,1832.0,5218.0,5123.05,0.43765533920162697,210810.4,210872.0,197.70415608512968,210248.0,210880.0,210880.0,0.0009378292346351494,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4758,0.476,0.0006324555320336764,0.474,0.476,0.476,0.001329246599482296
ECDSA,secp384r1,1,10,10,0.0,3167.3,3093.5,315.7780690435751,2884.0,3825.0,3695.8499999999995,0.09969945033422002,211313.6,211352.0,88.56786475165056,211124.0,211368.0,211366.2,0.00041912997910049596,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.47680000000000006,0.477,0.00042163702135578426,0.476,0.477,0.477,0.00088430583338042
ECDSA,secp384r1,2,10,10,0.0,4493.8,4342.5,530.1230045942168,4016.0,5592.0,5445.75,0.11796764533228377,209883.2,209924.0,99.506337039965,209664.0,209952.0,209944.8,0.00047410339198165934,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.473,0.473,0.0,0.473,0.473,0.473,0.0
ECDSA,secp384r1,3,10,10,0.0,6034.7,5205.5,2321.0171166011582,4947.0,12461.0,9891.049999999994,0.384611847581679,208474.0,208494.0,64.72505954677317,208292.0,208508.0,208506.2,0.00031047065603755466,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4699,0.47,0.0003162277660168382,0.469,0.47,0.47,0.0006729682188057847
RSA,2048,0,10,10,0.0,2457.9,1217.5,3100.7333702421643,946.0,10806.0,7875.599999999993,1.2615376419879427,210358.4,210358.0,194.49490138989933,210012.0,210728.0,210611.0,0.0009245882331768037,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4744,0.4745,0.0006992058987801017,0.473,0.475,0.475,0.0014738741542582245
RSA,2048,1,10,10,0.0,2200.0,1155.0,2058.1249287208543,969.0,6919.0,6024.849999999998,0.935511331236752,209971.2,210078.0,250.04746216135317,209520.0,210192.0,210190.2,0.0011908655194681611,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4734,0.4735,0.0006992058987801017,0.472,0.474,0.474,0.0014769875343897375
RSA,2048,2,10,10,0.0,6397.6,1258.0,16573.501743579855,890.0,53564.0,30086.149999999943,2.5905811153526095,207758.0,207808.0,179.36430959239232,207396.0,208008.0,207932.4,0.0008633328660864675,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4678,0.468,0.00042163702135578426,0.467,0.468,0.468,0.000901318985369355
RSA,2048,3,10,10,0.0,3199.2,1700.0,3194.180430442561,1057.0,10545.0,8973.599999999997,0.9984309922613657,205608.0,205652.0,94.99473669630333,205428.0,205680.0,205672.8,0.00046201867970265426,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.462,0.462,0.0,0.462,0.462,0.462,0.0
RSA,4096,0,10,10,0.0,4171.1,1648.0,5672.355055686991,1066.0,19604.0,13456.099999999986,1.3599182603358804,209283.2,209318.0,127.06323884848312,209104.0,209532.0,209443.8,0.000607135397626198,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4716999999999999,0.472,0.00048304589153964835,0.471,0.472,0.472,0.0010240531938512792
RSA,4096,1,10,10,0.0,3658.9,2719.0,3760.361107068782,967.0,13230.0,10196.549999999992,1.0277299480906235,208106.4,208218.0,195.68864158260294,207808.0,208248.0,208246.2,0.0009403297619996451,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4687,0.469,0.00048304589153962157,0.468,0.469,0.469,0.0010306078334534276
RSA,4096,2,10,10,0.0,2058.0,1252.5,1616.3967472265108,1067.0,6217.0,4799.499999999996,0.7854211599740092,204932.4,205018.0,208.02093911698194,204400.0,205044.0,205038.6,0.001015071014231922,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4607,0.461,0.0006749485577105535,0.459,0.461,0.461,0.001465050049295753
RSA,4096,3,10,10,0.0,1670.8,1487.5,753.2707643632829,1162.0,3729.0,2874.899999999998,0.4508443645937772,201772.8,201810.0,84.74379688868744,201604.0,201828.0,201828.0,0.00041999613867026403,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4519,0.452,0.0003162277660168382,0.451,0.452,0.452,0.0006997737685701221
