algorithm,key_size_or_curve,chain_depth,n_total,n_success,failure_rate,handshake_time_ms_mean,handshake_time_ms_median,handshake_time_ms_std,handshake_time_ms_min,handshake_time_ms_max,handshake_time_ms_p95,handshake_time_ms_cv,free_heap_bytes_mean,free_heap_bytes_median,free_heap_bytes_std,free_heap_bytes_min,free_heap_bytes_max,free_heap_bytes_p95,free_heap_bytes_cv,largest_free_block_bytes_mean,largest_free_block_bytes_median,largest_free_block_bytes_std,largest_free_block_bytes_min,largest_free_block_bytes_max,largest_free_block_bytes_p95,largest_free_block_bytes_cv,fragmentation_ratio_mean,fragmentation_ratio_median,fragmentation_ratio_std,fragmentation_ratio_min,fragmentation_ratio_max,fragmentation_ratio_p95,fragmentation_ratio_cv
ECDSA,secp256r1,0,10,10,0.0,1952.3,1682.0,738.9038503080086,1423.0,3763.0,3287.799999999999,0.3784786407355471,211137.2,211136.0,8.854377448471462,211120.0,211148.0,211148.0,4.193660543225666e-05,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.476,0.476,0.0,0.476,0.476,0.476,0.0
ECDSA,secp256r1,1,10,10,0.0,2493.6,2305.5,810.9252876943857,2089.0,4771.0,3729.6999999999975,0.3252026338203344,211710.4,211712.0,11.80583659796195,211684.0,211724.0,211722.2,5.576408432444486e-05,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4779999999999999,0.478,5.851389114294502e-17,0.478,0.478,0.478,1.2241399820699797e-16
ECDSA,secp256r1,2,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249920.4,249924.0,254.19117914584598,249308.0,250128.0,250128.0,0.0010170885575801175,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.5577000000000001,0.558,0.0006749485577105535,0.556,0.558,0.558,0.0012102358933307395
ECDSA,secp256r1,3,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249908.8,249924.0,191.54390271336405,249576.0,250128.0,250128.0,0.0007664552137154196,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.5577000000000001,0.558,0.00048304589153964835,0.557,0.558,0.558,0.0008661393070461687
ECDSA,secp384r1,0,10,10,0.0,1900.9,1822.5,162.47970813475618,1782.0,2238.0,2166.45,0.08547514763257202,211072.8,211074.0,9.003702941938204,211056.0,211084.0,211084.0,4.265686029624947e-05,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.476,0.476,0.0,0.476,0.476,0.476,0.0
ECDSA,secp384r1,1,10,10,0.0,3156.6,3004.5,320.203129972904,2839.0,3755.0,3642.4999999999995,0.10143924791639865,211539.2,211562.0,71.99506155903256,211336.0,211572.0,211572.0,0.0003403391029134674,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.47700000000000004,0.477,5.851389114294502e-17,0.477,0.477,0.477,1.2267063132692874e-16
ECDSA,secp384r1,2,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249874.8,249922.0,224.83218433113865,249452.0,250128.0,250128.0,0.0008997793468214428,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.5576000000000001,0.558,0.0005163977794943227,0.557,0.558,0.558,0.0009261079259223864
ECDSA,secp384r1,3,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250005.6,250128.0,172.0279047131598,249720.0,250128.0,250128.0,0.0006880962054976361,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.5578000000000001,0.558,0.00042163702135578426,0.557,0.558,0.558,0.0007558928314015494
RSA,2048,0,10,10,0.0,929.1,888.5,148.68045526489948,748.0,1130.0,1109.75,0.1600263214561398,210513.2,210488.0,85.52166717011283,210472.0,210756.0,210637.2,0.00040625322863417987,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4749999999999999,0.475,5.851389114294502e-17,0.475,0.475,0.475,1.2318713924830532e-16
RSA,2048,1,10,10,0.0,1015.3,1002.0,213.30835791303528,778.0,1441.0,1326.6999999999998,0.2100939209229147,210210.0,210208.0,6.324555320336759,210200.0,210220.0,210220.0,3.008684325358812e-05,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.47400000000000003,0.474,5.851389114294502e-17,0.474,0.474,0.474,1.234470277277321e-16
RSA,2048,2,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249848.4,249924.0,347.4117633778875,249184.0,250128.0,250128.0,0.0013904902467972078,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.5575000000000001,0.558,0.0008498365855987983,0.556,0.558,0.558,0.001524370557127889
RSA,2048,3,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249921.6,249924.0,169.8438498543098,249712.0,250128.0,250128.0,0.0006795885183766021,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.5577,0.558,0.00048304589153964835,0.557,0.558,0.558,0.0008661393070461689
RSA,4096,0,10,10,0.0,992.2,892.0,176.69358285524186,830.0,1392.0,1268.2499999999998,0.17808262734856062,209719.6,209720.0,6.6533199732664805,209712.0,209728.0,209728.0,3.172483627313079e-05,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.473,0.473,0.0,0.473,0.473,0.473,0.0
RSA,4096,1,10,10,0.0,1125.3,1057.0,256.08768029719823,893.0,1757.0,1562.1499999999996,0.2275728075155054,208422.0,208418.0,10.022197585581939,208412.0,208436.0,208436.0,4.8086082973879625e-05,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.46900000000000003,0.469,5.851389114294502e-17,0.469,0.469,0.469,1.2476309412141794e-16
RSA,4096,2,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249929.2,249924.0,203.8129861744176,249576.0,250128.0,250128.0,0.0008154828894519631,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.5577000000000001,0.558,0.00048304589153964835,0.557,0.558,0.558,0.0008661393070461687
RSA,4096,3,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250087.2,250128.0,86.01395235657992,249924.0,250128.0,250128.0,0.0003439358446037219,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.558,0.558,0.0,0.558,0.558,0.558,0.0
