timestamp,trial_number,iteration,algorithm,key_size_or_curve,chain_depth,handshake_time_ms,certificate_chain_size_bytes,free_heap_bytes,largest_free_block_bytes,fragmentation_ratio,handshake_success
2026-05-24T22:38:46,1,1,RSA,2048,0,0.0,1249,254020,110580,0.565,0
2026-05-24T22:38:48,1,2,RSA,2048,1,0.0,2461,254064,110580,0.565,0
2026-05-24T22:38:49,1,3,RSA,2048,2,0.0,3673,253860,110580,0.564,0
2026-05-24T22:38:51,1,4,RSA,2048,3,0.0,4885,254064,110580,0.565,0
2026-05-24T22:38:53,1,5,RSA,4096,0,0.0,1598,253656,110580,0.564,0
2026-05-24T22:38:58,1,6,RSA,4096,1,0.0,3502,254064,110580,0.565,0
2026-05-24T22:39:00,1,7,RSA,4096,2,0.0,5409,254076,110580,0.565,0
2026-05-24T22:39:09,1,8,RSA,4096,3,0.0,7316,253668,110580,0.564,0
