timestamp,trial_number,iteration,algorithm,key_size_or_curve,chain_depth,handshake_time_ms,certificate_chain_size_bytes,free_heap_bytes,largest_free_block_bytes,fragmentation_ratio,handshake_success
2026-05-25T16:17:23,1,1,RSA,2048,0,0.0,1249,249892,110580,0.557,0
2026-05-25T16:17:25,1,2,RSA,2048,1,0.0,2461,249620,110580,0.557,0
2026-05-25T16:17:26,1,3,RSA,2048,2,0.0,3673,249840,110580,0.557,0
2026-05-25T16:17:27,1,4,RSA,2048,3,0.0,4885,249628,110580,0.557,0
2026-05-25T16:17:28,1,5,RSA,4096,0,0.0,1598,250044,110580,0.558,0
