timestamp,trial_number,iteration,algorithm,key_size_or_curve,chain_depth,handshake_time_ms,certificate_chain_size_bytes,free_heap_bytes,largest_free_block_bytes,fragmentation_ratio,handshake_success
2026-05-24T22:30:50,1,1,RSA,2048,0,0.0,1249,254352,110580,0.565,0
2026-05-24T22:30:51,1,2,RSA,2048,1,0.0,2461,254068,110580,0.565,0
2026-05-24T22:30:53,1,3,RSA,2048,2,0.0,3673,253864,110580,0.564,0
2026-05-24T22:31:00,1,4,RSA,2048,3,0.0,4885,253864,110580,0.564,0
2026-05-24T22:31:01,1,5,RSA,4096,0,0.0,1598,254068,110580,0.565,0
2026-05-24T22:31:04,1,6,RSA,4096,1,0.0,3502,254068,110580,0.565,0
2026-05-24T22:31:07,1,7,RSA,4096,2,0.0,5409,254068,110580,0.565,0
2026-05-24T22:31:14,1,8,RSA,4096,3,0.0,7316,254068,110580,0.565,0
2026-05-24T22:31:15,1,9,ECDSA,secp256r1,0,0.0,977,254052,110580,0.565,0
2026-05-24T22:31:16,1,10,ECDSA,secp256r1,1,0.0,1649,253916,110580,0.565,0
2026-05-24T22:31:18,1,11,ECDSA,secp256r1,2,0.0,2329,253912,110580,0.564,0
2026-05-24T22:31:25,1,12,ECDSA,secp256r1,3,0.0,3001,253916,110580,0.565,0
2026-05-24T22:31:27,1,13,ECDSA,secp384r1,0,0.0,1013,253848,110580,0.564,0
2026-05-24T22:31:30,1,14,ECDSA,secp384r1,1,0.0,1775,254048,110580,0.565,0
2026-05-24T22:31:32,1,15,ECDSA,secp384r1,2,0.0,2532,254052,110580,0.565,0
2026-05-24T22:31:34,1,16,ECDSA,secp384r1,3,0.0,3289,253912,110580,0.564,0
