label,algoritmo,tamaño_clave,curva,longitud_cadena,n,media_ms,mediana_ms,std_ms,min_ms,max_ms,tamaño_certs_bytes
ECDSA-secp256r1,ECDSA,,secp256r1,0,30,0.9518333333333333,0.859,0.29786737193651774,0.716,2.33,721
ECDSA-secp256r1,ECDSA,,secp256r1,1,30,1.2929666666666668,1.1735,0.34949761809985386,0.93,2.218,1454
ECDSA-secp256r1,ECDSA,,secp256r1,2,30,1.468,1.316,0.39641079354803055,1.075,2.708,2191
ECDSA-secp256r1,ECDSA,,secp256r1,3,30,1.2381,1.1915,0.1527525269275721,1.104,1.818,2932
ECDSA-secp384r1,ECDSA,,secp384r1,0,30,2.2465333333333333,2.1334999999999997,0.33430058055725775,1.969,3.49,802
ECDSA-secp384r1,ECDSA,,secp384r1,1,30,3.0951666666666666,2.9779999999999998,0.5853168362951596,2.48,5.353,1620
ECDSA-secp384r1,ECDSA,,secp384r1,2,30,3.7275666666666667,3.372,0.8404513435764976,3.099,6.429,2438
ECDSA-secp384r1,ECDSA,,secp384r1,3,30,4.1758,3.7845,0.8971030156507427,3.619,7.434,3256
RSA-2048,RSA,2048.0,,0,30,1.2531999999999999,1.112,0.6884048728513746,0.999,4.864,1257
RSA-2048,RSA,2048.0,,1,30,1.3773333333333333,1.323,0.195161000437982,1.205,2.197,2530
RSA-2048,RSA,2048.0,,2,30,1.4508666666666667,1.381,0.20229165243202235,1.252,2.332,3803
RSA-2048,RSA,2048.0,,3,30,1.604933333333333,1.536,0.22962517183494904,1.374,2.451,5076
RSA-3072,RSA,3072.0,,0,30,2.245166666666667,2.138,0.2966192361671236,2.034,3.599,1602
RSA-3072,RSA,3072.0,,1,30,4.718333333333334,3.673,3.915349487490919,2.412,22.473,3220
RSA-3072,RSA,3072.0,,2,30,2.79,2.5934999999999997,0.5289133297099136,2.399,4.903,4839
RSA-3072,RSA,3072.0,,3,30,2.7119,2.603,0.3553533792409058,2.426,4.307,6458
RSA-4096,RSA,4096.0,,0,30,4.296666666666667,4.18,0.5046436320833729,3.958,6.668,1948
RSA-4096,RSA,4096.0,,1,30,4.5068,4.4915,0.3873245453728386,4.117,6.259,3916
RSA-4096,RSA,4096.0,,2,30,4.6357,4.6274999999999995,0.2346679458886239,4.296,5.673,5884
RSA-4096,RSA,4096.0,,3,30,4.751366666666667,4.596,0.5298719743441827,4.392,7.204,7852
