algorithm,key_size_or_curve,chain_depth,n_total,n_success,failure_rate,handshake_time_ms_mean,handshake_time_ms_median,handshake_time_ms_std,handshake_time_ms_min,handshake_time_ms_max,handshake_time_ms_p95,handshake_time_ms_cv,free_heap_bytes_mean,free_heap_bytes_median,free_heap_bytes_std,free_heap_bytes_min,free_heap_bytes_max,free_heap_bytes_p95,free_heap_bytes_cv,largest_free_block_bytes_mean,largest_free_block_bytes_median,largest_free_block_bytes_std,largest_free_block_bytes_min,largest_free_block_bytes_max,largest_free_block_bytes_p95,largest_free_block_bytes_cv,fragmentation_ratio_mean,fragmentation_ratio_median,fragmentation_ratio_std,fragmentation_ratio_min,fragmentation_ratio_max,fragmentation_ratio_p95,fragmentation_ratio_cv
ECDSA,secp256r1,0,10,10,0.0,227.35,228.95,16.201663151938718,201.6,250.1,249.47,0.07126308841846808,219993.4,220173.0,2383.508860669263,216058.0,223160.0,223039.4,0.010834456218546843,196447.1,195620.5,5410.161785422359,190538.0,207199.0,205943.05,0.027540044039450613,0.10701999999999998,0.11699999999999999,0.02299254951790543,0.0663,0.126,0.125685,0.2148434826939398
ECDSA,secp256r1,1,10,10,0.0,310.22,309.85,25.715356415098654,273.3,349.6,342.805,0.08289393467570966,203970.5,204374.0,2150.0499348206363,200448.0,206596.0,206378.65,0.010540984773879734,172603.0,172467.5,2706.342755659584,168726.0,177160.0,176704.6,0.01567958121040529,0.15378000000000003,0.15560000000000002,0.009108213631418378,0.1405,0.1705,0.16519,0.05922885701273492
ECDSA,secp256r1,2,10,10,0.0,382.18,379.45000000000005,31.25308162583509,346.7,456.2,432.3949999999999,0.08177581669850617,188571.8,189001.0,1706.3635017193728,185629.0,190243.0,190228.15,0.009048879534052139,148590.2,149123.0,3853.202298810115,141399.0,152348.0,152237.3,0.025931739097262905,0.21202000000000001,0.2102,0.019338493564218837,0.1806,0.2485,0.24111999999999997,0.09121070448174151
ECDSA,secp256r1,3,10,10,0.0,449.31000000000006,445.04999999999995,20.259891959786515,419.5,471.9,471.81,0.045091121853033565,173355.7,172997.5,2467.827161695081,170043.0,177368.0,177248.3,0.014235627450929395,127267.6,126902.5,2643.1852921974446,122721.0,131139.0,130997.25,0.020768721121459385,0.26582999999999996,0.26144999999999996,0.012782544521512312,0.2475,0.2879,0.28358,0.04808540992932443
ECDSA,secp384r1,0,10,10,0.0,334.5,330.1,29.722531670247893,291.6,388.6,376.9,0.08885659692151836,217607.6,217657.0,1810.324906381909,214453.0,220358.0,219983.15,0.008319217280930945,195070.6,193365.5,4738.233712166498,189948.0,203430.0,203045.7,0.024289840253562033,0.1036,0.11019999999999999,0.018631454884445044,0.0697,0.1225,0.12047499999999998,0.1798402981124039
ECDSA,secp384r1,1,10,10,0.0,432.12000000000006,432.5,22.967793876547113,400.6,466.4,464.28499999999997,0.05315142524425416,203660.4,203468.5,1724.6979252417896,200994.0,206817.0,206256.75,0.008468499154679995,174388.5,172166.5,5093.291999177829,170059.0,185077.0,183112.3,0.029206581851313758,0.14384000000000002,0.15125,0.019172271644226198,0.0997,0.1607,0.159755,0.13328887405607756
ECDSA,secp384r1,2,10,10,0.0,530.05,523.2,38.44063966400375,491.6,602.7,597.705,0.07252266703896566,188725.3,188420.5,1205.6140021674523,187476.0,191229.0,190747.95,0.006388194916990209,150660.8,150857.0,5170.3320288825635,143471.0,157945.0,157653.4,0.03431769928795389,0.20166,0.2056,0.028006634134710932,0.1615,0.236,0.234695,0.13888046283204866
ECDSA,secp384r1,3,10,10,0.0,618.27,609.45,26.131889841086256,596.2,680.7,662.16,0.04226614560157578,173470.2,174046.0,1994.0210519338943,168754.0,176103.0,175451.4,0.011494891064481936,129956.0,130681.5,4056.61851518944,123062.0,137464.0,135300.85,0.031215322995394135,0.25083,0.24885000000000002,0.02227759462379685,0.2057,0.2948,0.279545,0.08881551099867181
RSA,2048,0,10,10,0.0,801.68,808.4,24.371467835246268,752.7,828.9,825.75,0.030400493757167784,219490.0,219012.0,2461.029775430512,214532.0,223459.0,222849.25,0.011212491573331413,196580.6,197794.5,7361.440909677036,181715.0,205387.0,204987.4,0.037447443489729074,0.10451999999999999,0.09485,0.027750267265980216,0.0757,0.153,0.14584499999999997,0.2655019830269826
RSA,2048,1,10,10,0.0,1047.9099999999999,1035.0,27.031193914521108,1015.2,1098.3,1090.74,0.025795339212834223,204502.3,204763.0,2679.1570419733807,198365.0,207462.0,207241.05,0.013100865085494788,172222.5,171433.5,4234.913674838406,167247.0,180932.0,179105.0,0.024589781676833202,0.15787,0.15785,0.015870101168899683,0.1257,0.1841,0.18068,0.10052638987077775
