label,algoritmo,tamaño_clave,curva,longitud_cadena,n,media_ms,mediana_ms,std_ms,min_ms,max_ms,tamaño_certs_bytes
ECDSA-secp256r1,ECDSA,,secp256r1,0,15,1.9439333333333333,1.903,0.2321278793702996,1.683,2.582,717
ECDSA-secp256r1,ECDSA,,secp256r1,1,15,2.2558,2.208,0.3560423730801874,1.783,3.162,1458
ECDSA-secp256r1,ECDSA,,secp256r1,2,15,2.4022666666666668,2.298,0.23187603420382907,2.196,3.105,2191
ECDSA-secp256r1,ECDSA,,secp256r1,3,15,2.606666666666667,2.546,0.2154989780110558,2.373,3.117,2932
ECDSA-secp384r1,ECDSA,,secp384r1,0,15,6.302733333333333,3.987,9.141382987481133,3.693,39.339,802
ECDSA-secp384r1,ECDSA,,secp384r1,1,15,4.992333333333334,4.8,0.4366127193138867,4.483,6.081,1620
ECDSA-secp384r1,ECDSA,,secp384r1,2,15,5.579066666666667,5.607,0.26879638248699556,5.06,6.053,2442
ECDSA-secp384r1,ECDSA,,secp384r1,3,15,7.688133333333334,6.262,5.496676708529912,5.981,27.543,3260
RSA-2048,RSA,2048.0,,0,15,2.5682666666666667,2.127,1.5070084589139154,1.938,7.952,1257
RSA-2048,RSA,2048.0,,1,15,2.8278666666666665,2.44,1.3375049194391062,2.124,7.51,2530
RSA-2048,RSA,2048.0,,2,15,2.581733333333333,2.498,0.3251297469948766,2.219,3.586,3803
RSA-2048,RSA,2048.0,,3,15,2.7641333333333336,2.692,0.3793128875567855,2.345,3.721,5076
RSA-3072,RSA,3072.0,,0,15,3.033466666666667,2.945,0.3957558530686505,2.672,4.271,1602
RSA-3072,RSA,3072.0,,1,15,3.3866666666666663,3.163,0.5842568743610085,2.86,4.872,3220
RSA-3072,RSA,3072.0,,2,15,4.682266666666667,3.323,4.661130158275025,3.218,21.475,4839
RSA-3072,RSA,3072.0,,3,15,3.6532,3.51,0.3415979675416283,3.387,4.688,6458
RSA-4096,RSA,4096.0,,0,15,4.2443333333333335,4.097,0.48985444874205347,3.876,5.901,1948
RSA-4096,RSA,4096.0,,1,15,4.714066666666667,4.569,0.6134285924989459,4.287,6.853,3916
RSA-4096,RSA,4096.0,,2,15,5.3722666666666665,4.741,1.759696502511834,4.217,11.359,5884
RSA-4096,RSA,4096.0,,3,15,4.8776,4.78,0.4771118167833259,4.52,6.476,7852
